ID_Uzorka;GPS_LAT;GPS_LONG
1;18.475351;77.387003
2;18.484274;77.388286
3;18.490443;77.390383
4;18.484202;77.392696
5;18.483651;77.393456
6;18.48499;77.391179
7;18.483274;77.390375
8;18.479072;77.396629
9;18.491943;77.38924
10;18.48523;77.392566
11;18.482349;77.38493
12;18.47777;77.391206
13;18.487162;77.391118
14;18.479914;77.392869
15;18.485941;77.392328
16;18.48473;77.388436
17;18.481583;77.386607
18;18.485253;77.393413
19;18.483276;77.376837
20;18.485154;77.392461
21;18.485769;77.393152
22;18.488952;77.392071
23;18.48295;77.381456
24;18.480953;77.390988
25;18.482801;77.3983
26;18.480045;77.383766
27;18.491344;77.391574
28;18.484194;77.388278
29;18.484882;77.387794
30;18.485796;77.394593
31;18.493629;77.385517
32;18.483745;77.390376
33;18.481162;77.388283
34;18.481914;77.387505
35;18.490696;77.392026
36;18.47836;77.379029
37;18.486355;77.380551
38;18.490717;77.390905
39;18.492025;77.399687
40;18.48837;77.391192
41;18.48809;77.38542
42;18.483689;77.399526
43;18.48673;77.389198
44;18.475076;77.380727
45;18.487722;77.392547
46;18.482394;77.389687
47;18.489197;77.395338
48;18.486914;77.395923
49;18.481568;77.384943
50;18.479881;77.398198
51;18.488137;77.385761
52;18.479582;77.396685
53;18.492332;77.396426
54;18.484991;77.385162
55;18.487683;77.397432
56;18.47306;77.394025
57;18.487157;77.392727
58;18.494137;77.394975
59;18.490526;77.394353
60;18.479988;77.394804
61;18.480591;77.381344
62;18.488561;77.38947
63;18.484039;77.387977
64;18.479576;77.405946
65;18.479245;77.38569
66;18.480666;77.396245
67;18.481882;77.392558
68;18.481953;77.38315
69;18.480715;77.396931
70;18.488963;77.393731
71;18.480689;77.392722
72;18.481605;77.395595
73;18.481411;77.386799
74;18.482875;77.385292
75;18.482392;77.391904
76;18.48891;77.389124
77;18.481193;77.390129
78;18.478851;77.395789
79;18.484467;77.395206
80;18.485592;77.390211
81;18.481257;77.392291
82;18.48727;77.389978
83;18.481875;77.391831
84;18.480424;77.391935
85;18.481513;77.387825
86;18.485582;77.387859
87;18.484022;77.388803
88;18.478573;77.390335
89;18.491396;77.386255
90;18.484418;77.387628
91;18.487937;77.385669
92;18.486564;77.398429
93;18.487745;77.394956
94;18.473053;77.384651
95;18.477446;77.387656
96;18.486816;77.377193
97;18.485676;77.386198
98;18.483047;77.393278
99;18.485921;77.388326
100;18.486983;77.390228
101;18.479373;77.392639
102;18.492386;77.391901
103;18.479015;77.387734
104;18.474479;77.393289
105;18.481799;77.386962
106;18.484745;77.389928
107;18.486551;77.382385
108;18.486431;77.390129
109;18.479624;77.387011
110;18.491759;77.397704
111;18.48469;77.390592
112;18.483972;77.39348
113;18.488988;77.389733
114;18.481171;77.395106
115;18.481977;77.393668
116;18.479468;77.397614
117;18.476132;77.391447
118;18.482895;77.383259
119;18.478738;77.392304
120;18.483266;77.380906
121;18.478459;77.385842
122;18.48647;77.396536
123;18.484902;77.39102
124;18.494621;77.393957
125;18.475088;77.38365
126;18.49092;77.396377
127;18.479536;77.391091
128;18.485921;77.393151
129;18.490137;77.391328
130;18.481943;77.388699
131;18.476911;77.390745
132;18.491254;77.401082
133;18.487852;77.382527
134;18.476239;77.389819
135;18.485319;77.388824
136;18.488851;77.387377
137;18.490197;77.397758
138;18.487692;77.392771
139;18.483009;77.391194
140;18.484961;77.384444
141;18.488466;77.393041
142;18.47473;77.399254
143;18.475801;77.391352
144;18.484897;77.390732
145;18.478745;77.396493
146;18.48507;77.386466
147;18.484235;77.386597
148;18.476766;77.388693
149;18.475642;77.387005
150;18.493095;77.391613
151;18.485342;77.3957
152;18.485393;77.386696
153;18.488573;77.399067
154;18.480705;77.39025
155;18.47743;77.387332
156;18.490528;77.388321
157;18.487612;77.389805
158;18.480143;77.386467
159;18.48125;77.38901
160;18.494978;77.390928
161;18.482834;77.401603
162;18.484496;77.395321
163;18.492624;77.389361
164;18.489947;77.392029
165;18.476914;77.390988
166;18.481514;77.394749
167;18.494255;77.399099
168;18.476272;77.389883
169;18.484416;77.39654
170;18.49359;77.388926
171;18.483623;77.392007
172;18.482561;77.398165
173;18.491679;77.387727
174;18.489116;77.386166
175;18.489458;77.39054
176;18.481911;77.39102
177;18.486372;77.39037
178;18.492532;77.396082
