ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
1;7.8;-21.4;7.45;4.55;Negativno;Da
2;10.9;-19.0;6.73;5.03;Pozitivno;Da
3;9.1;-29.0;6.92;5.06;Pozitivno;Da
4;12.7;-16.6;6.79;5.38;Pozitivno;Da
5;10.1;-14.3;6.72;5.85;Pozitivno;Da
6;10.0;-18.9;7.22;4.79;Pozitivno;Ne
7;13.3;-19.3;6.86;5.12;Pozitivno;Ne
8;10.4;-23.0;7.19;5.4;Pozitivno;Da
9;10.9;-16.7;6.85;4.98;Pozitivno;Da
10;10.1;-24.5;6.95;5.42;Pozitivno;Da
11;9.8;-19.1;6.9;4.73;Pozitivno;Da
12;10.3;-26.4;6.69;5.85;Pozitivno;Da
13;10.4;-20.9;6.92;5.22;Pozitivno;Da
14;12.4;-22.2;7.05;4.31;Pozitivno;Da
15;5.2;-10.4;7.01;6.22;Pozitivno;Da
16;9.1;-25.3;7.31;4.43;Pozitivno;Da
17;8.2;-21.1;7.08;5.42;Pozitivno;Ne
18;12.4;-20.6;7.04;4.8;Pozitivno;Da
19;9.7;-9.8;7.0;4.28;Pozitivno;Da
20;10.5;-25.8;6.85;5.46;Pozitivno;Da
21;10.2;-24.4;6.85;4.66;Negativno;Da
22;7.8;-11.1;7.24;5.6;Pozitivno;Da
23;11.4;-22.4;6.84;5.21;Pozitivno;Da
24;12.3;-17.8;7.13;4.64;Pozitivno;Da
25;10.0;-19.9;6.78;5.45;Pozitivno;Da
26;12.1;-25.2;7.19;5.15;Pozitivno;Da
27;13.5;-8.5;7.13;5.73;Pozitivno;Ne
28;12.9;-20.1;6.73;4.07;Pozitivno;Da
29;8.4;-24.9;7.27;6.22;Pozitivno;Da
30;7.8;-16.5;6.96;5.98;Pozitivno;Ne
31;11.2;-18.2;6.76;4.37;Pozitivno;Ne
32;7.0;-27.7;6.75;5.26;Negativno;Da
33;8.2;-18.5;6.65;5.21;Pozitivno;Da
34;6.5;-25.7;7.06;5.15;Pozitivno;Da
35;7.5;-20.5;7.32;5.26;Pozitivno;Da
36;10.6;-22.5;7.16;4.94;Pozitivno;Da
37;7.5;-19.8;7.02;5.46;Pozitivno;Da
38;12.3;-20.7;7.09;5.15;Pozitivno;Da
39;11.0;-12.8;6.75;4.94;Pozitivno;Da
